name,R_pm,R_fm,R_m,R_km,f_eV,f_MeV,f_Hz,vx_kms,note,fault_hint
Sun photosphere boundary,,,,696340,,,,299792.458,Predict at vacuum c: photospheric radius,
Sun radiative zone boundary,,,,490000,,,,299792.458,Predict: ~70% solar radius,
Sun convective zone outer,,,,696340,,,,299792.458,Same as photosphere - convection ends here,
Solar wind termination shock,,,,1.4e10,,,,299792.458,~94 AU,
Heliopause boundary,,,,1.8e10,,,,299792.458,~120 AU - solar coherence boundary,
Oort Cloud outer,,,,1.5e13,,,,299792.458,~100000 AU,
Sirius A,,,,1.711e6,,,,299792.458,Main sequence A1V,
Sirius B,,,,5840,,,,299792.458,White dwarf,
Betelgeuse,,,,7.64e8,,,,299792.458,Red supergiant ~887 solar radii,
Crab Pulsar - canonical,,,,10,,,29.947,,Map mode: f=29.947Hz R=10km,
Crab Pulsar - AG-determined,,,,11.62,,,29.947,,Map mode at AG-determined R giving 137.0,
PSR J1748-2446ad,,,,11,,,716,,Fastest known pulsar - Map mode,
Vela Pulsar,,,,10,,,11.195,,Map mode,
Black Hole Sgr A* event horizon,,,,1.2e7,,,,299792.458,Schwarzschild radius from M=4.1e6 solar masses,
Black Hole M87* event horizon,,,,1.95e10,,,,299792.458,M=6.5e9 solar masses,
Stellar BH 10 solar masses,,,,29.5,,,,299792.458,Schwarzschild for 10 Msun,
Globular Cluster M13,,,,1.65e15,,,,299792.458,Half-light radius ~55 ly,
Open Cluster Pleiades,,,,5.7e15,,,,299792.458,Tidal radius,
Milky Way disk radius,,,,4.7e17,,,,299792.458,~50000 ly,
Milky Way halo coherence,,,,1.9e18,,,,299792.458,~200000 ly,
M31 Andromeda disk,,,,1.04e18,,,,299792.458,~110000 ly,
NGC 3198 disk,,,,1.2e18,,,,299792.458,Canonical SPARC galaxy,
Local Group radius,,,,4.7e19,,,,299792.458,~5 Mly,
Virgo Cluster scale,,,,2.4e19,,,,299792.458,~2.6 Mly virial,
Local Supercluster (Laniakea),,,,2.4e21,,,,299792.458,~250 Mly,
Sloan Great Wall,,,,1.4e22,,,,299792.458,~1.5 Bly cosmological structure,
CMB Last-Scattering Surface,,,,4.4e23,,,,299792.458,Comoving distance ~46 Bly,
Hubble Horizon,,,,1.32e23,,,,299792.458,c/H0 with H0=67.4 km/s/Mpc,
Cosmological a0 boundary,,,,4.46e22,,,1.20e-10,,Map mode: Tully-Fisher characteristic acceleration scale,
Saturn,,,,58232,,,,299792.458,Predict mode: planetary scale,
Saturn rings outer,,,,140000,,,,299792.458,Outer A ring edge,
Pluto,,,,1188,,,,299792.458,Dwarf planet,
Ceres,,,,469.7,,,,299792.458,Largest asteroid,
Phobos,,,,11.27,,,,299792.458,Mars moon,
ISS orbit altitude,,,,6779,,,,299792.458,~408 km altitude from Earth center,
Geostationary orbit,,,,42164,,,,299792.458,GEO altitude,
Voyager 1 distance,,,,2.39e10,,,,299792.458,~160 AU current,
Alpha Centauri distance,,,,4.0e13,,,,299792.458,~4.37 ly nearest star system,
Galactic center distance,,,,2.46e17,,,,299792.458,~26000 ly to Sgr A*,
Solar mass Schwarzschild,,,,2.95,,,,299792.458,Schwarzschild for 1 Msun,
Earth mass Schwarzschild,,,,8.87e-6,,,,299792.458,Schwarzschild for 1 Mearth km units = 8.87e-3 m,
Hydrogen Bohr radius substrate,,,,5.292e-14,,,,299792.458,Atomic scale anchor for ladder cross-check,
Proton charge radius substrate,,,,8.41e-19,,,,299792.458,Sub-atomic anchor for ladder cross-check,
