Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Sun photosphere boundary,Predict: R+vx->f,f_Hz,696340,0.0685203,299792,0.0685203,0.215263,0.0685203,696340,2.18762e+06,696340,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict at vacuum c: photospheric radius
Sun radiative zone boundary,Predict: R+vx->f,f_Hz,490000,0.0973744,299792,0.0973744,0.305911,0.0973744,490000,1.53938e+06,490000,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Predict: ~70% solar radius
Sun convective zone outer,Predict: R+vx->f,f_Hz,696340,0.0685203,299792,0.0685203,0.215263,0.0685203,696340,2.18762e+06,696340,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Same as photosphere - convection ends here
Solar wind termination shock,Predict: R+vx->f,f_Hz,1.4e+10,3.4081e-06,299792,3.4081e-06,1.07069e-05,3.4081e-06,1.4e+10,4.39823e+10,1.4e+10,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~94 AU
Heliopause boundary,Predict: R+vx->f,f_Hz,1.8e+10,2.65075e-06,299792,2.65075e-06,8.32757e-06,2.65075e-06,1.8e+10,5.65487e+10,1.8e+10,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~120 AU - solar coherence boundary
Oort Cloud outer,Predict: R+vx->f,f_Hz,1.5e+13,3.1809e-09,299792,3.1809e-09,9.99308e-09,3.1809e-09,1.5e+13,4.71239e+13,1.5e+13,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,~100000 AU
Sirius A,Predict: R+vx->f,f_Hz,1.711e+06,0.0278863,299792,0.0278863,0.0876074,0.0278863,1.711e+06,5.37527e+06,1.711e+06,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Main sequence A1V
Sirius B,Predict: R+vx->f,f_Hz,5840,8.17011,299792,8.17011,25.6672,8.17011,5840,18346.9,5840,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,White dwarf
Betelgeuse,Predict: R+vx->f,f_Hz,7.64e+08,6.24522e-05,299792,6.24522e-05,0.000196199,6.24522e-05,7.64e+08,2.40018e+09,7.64e+08,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),00,Red supergiant ~887 solar radii
Crab Pulsar - canonical,Map:     f+R->vx,vx_kms,10,29.947,1881.63,29.947,94.0813,29.947,10,31.4159,10,1881.63,598.94,1881.63,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,159.326,1/alpha (err=16.27%),00,Map mode: f=29.947Hz R=10km
Crab Pulsar - AG-determined,Map:     f+R->vx,vx_kms,11.62,29.947,2186.45,29.947,94.0813,29.947,11.62,36.5053,11.62,2186.45,695.968,2186.45,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,137.114,1/alpha (err=0.06%),00,Map mode at AG-determined R giving 137.0
