object,mode,R_km,f_Hz,vx_kms,cv_observed,assigned_anchor,anchor_cv,distance_pct,tight_hit_2pct
Sun photosphere boundary,Predict: R+vx->f,696340.0,0.0685203,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Sun radiative zone boundary,Predict: R+vx->f,490000.0,0.0973744,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Sun convective zone outer,Predict: R+vx->f,696340.0,0.0685203,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Solar wind termination shock,Predict: R+vx->f,14000000000.0,3.4081e-06,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Heliopause boundary,Predict: R+vx->f,18000000000.0,2.65075e-06,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Oort Cloud outer,Predict: R+vx->f,15000000000000.0,3.1809e-09,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Sirius A,Predict: R+vx->f,1711000.0,0.0278863,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Sirius B,Predict: R+vx->f,5840.0,8.17011,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Betelgeuse,Predict: R+vx->f,764000000.0,6.24522e-05,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Crab Pulsar - canonical,Map:     f+R->vx,10.0,29.947,1881.63,159.3259344291917,(3/α)/φ^2,157.02928190301705,1.4625632228217733,YES
Crab Pulsar - AG-determined,Map:     f+R->vx,11.62,29.947,2186.45,137.11379542180248,1/α,137.0359990836958,0.056770730776491085,YES
PSR J1748-2446ad,Map:     f+R->vx,11.0,716.0,49486.4,6.058077734488667,integer 6,6.0,0.9679622414777859,YES
Vela Pulsar,Map:     f+R->vx,10.0,11.195,703.403,426.2029846332756,π/α,430.5112879986763,-1.000741092162481,YES
Black Hole Sgr A* event horizon,Predict: R+vx->f,12000000.0,0.00397612,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Black Hole M87* event horizon,Predict: R+vx->f,19500000000.0,2.44684e-06,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Stellar BH 10 solar masses,Predict: R+vx->f,29.5,1617.41,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
Globular Cluster M13,Predict: R+vx->f,1650000000000000.0,2.89172e-11,299792.0,1.0000015277258898,1 (φ⁰),1.0,0.0001527725889793885,YES
