anchor,cv,vx_local_kms,density_position,voice_polyphony_dominant_to_recessive,all_voices_active,IE_or_BE_min,IE_or_BE_max,R_min_human,R_max_human,f_min_Hz,f_max_Hz,R_min_km,R_max_km,candidate_system_class
α,0.0072973525693,41082358.999786906,Planck-approach (extreme density),β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1e+03 TeV,1e+13 TeV,0.00 fm,0.00 fm,2.417989242e+29,2.4179892420000002e+39,2.7040899914359085e-33,2.7040899914359086e-23,Planck-approach substrate / pre-particle coherence
1α·φ,0.011807364485018774,25390294.19989344,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.00 pm,2.417989242e+24,2.417989242e+27,1.6712195233458036e-21,1.6712195233458034e-18,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
2α,0.0145947051386,20541179.499893453,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.00 pm,2.417989242e+24,2.417989242e+27,1.3520449957179544e-21,1.3520449957179542e-18,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
2α·φ,0.02361472897003755,12695147.09994672,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.84 fm,2.417989242e+24,2.417989242e+27,8.356097616729018e-22,8.356097616729017e-19,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
1α·φ^3,0.030912081539337548,9698229.399999978,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.64 fm,2.417989242e+24,2.417989242e+27,6.383490552556986e-22,6.383490552556985e-19,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
1α·φ^4,0.05001679859365633,5993835.399893485,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.39 fm,2.417989242e+24,2.417989242e+27,3.945214128344064e-22,3.9452141283440637e-19,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
3α·φ^2,0.05731415116295632,5230688.266631154,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.34 fm,2.417989242e+24,2.417989242e+27,3.44290156030035e-22,3.44290156030035e-19,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
1/φ²,0.38196601125010515,784866.8446148753,sub-nucleonic / heavy-nuclear-interior,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),10 GeV,10 TeV,0.00 fm,0.05 fm,2.417989242e+24,2.417989242e+27,5.1660874175798313e-23,5.166087417579831e-20,sub-nucleon coherence / heavy-meson-interior / pre-quark cluster
1/φ,0.6180339887498948,485074.38661487534,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.32 fm,2.417989242e+23,2.417989242e+25,3.1928176129175076e-21,3.192817612917507e-19,nucleon-interior / quintic-coherence boundary / quark-cluster
π/2,1.5707963267948966,190853.80636947768,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.13 fm,2.417989242e+23,2.417989242e+25,1.256222573863951e-21,1.2562225738639509e-19,nucleon-interior / quintic-coherence boundary / quark-cluster
φ,1.618033988749895,185281.9286148753,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.12 fm,2.417989242e+23,2.417989242e+25,1.2195478082551824e-21,1.2195478082551823e-19,nucleon-interior / quintic-coherence boundary / quark-cluster
