Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,T1_Cl_Summary,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Muonic Hydrogen (μp),ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muonic Hydrogen (μp),Map:     f+R->vx,vx_kms,2.562e-16,4.83598e+17,778.473,4.83598e+17,1.51927e+18,4.83598e+17,2.562e-16,8.04876e-16,2.562e-16,778.473,247.796,778.473,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,385.103,2/alpha (err=40.51%),C1,Bohr-scale R=0.5292/207 pm; f_E ≈ 2 keV Lyman-α
Positronium (e+e-) ground,ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positronium (e+e-) ground,Map:     f+R->vx,vx_kms,1.0584e-13,1.64491e+15,1093.89,1.64491e+15,5.16764e+15,1.64491e+15,1.0584e-13,3.32506e-13,1.0584e-13,1093.89,348.194,1093.89,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,274.062,2/alpha (err=0.00%),C1,R=2*0.5292 Bohr=105.84pm; IE=6.8028eV ground state
Antiprotonic Helium pHe,ERROR,TVP v1.9 requires at least 2 of 3 focal variables. Got 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antiprotonic Helium pHe,Map:     f+R->vx,vx_kms,3.8e-14,2.90159e+14,69.2786,2.90159e+14,9.1156e+14,2.90159e+14,3.8e-14,1.19381e-13,3.8e-14,69.2786,22.0521,69.2786,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,4327.35,unresolved nearest=(6pi^5)^3 (100.0%),C1,n=39 orbit ~38pm; transition energies ~1eV scale; conservative IE estimate
Hydrogen (H Z=1 ground),Map:     f+R->vx,vx_kms,3.1e-14,3.28808e+15,640.448,3.28808e+15,1.03298e+16,3.28808e+15,3.1e-14,9.73894e-14,3.1e-14,640.448,203.861,640.448,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,468.098,unresolved nearest=2/alpha (70.8%),C1,Z=1 cov=31pm IE=13.5984eV groundstate baseline
Hydrogen Lyman-alpha (n=2),Map:     f+R->vx,vx_kms,1.0584e-13,2.46635e+15,1640.15,2.46635e+15,7.74826e+15,2.46635e+15,1.0584e-13,3.32506e-13,1.0584e-13,1640.15,522.077,1640.15,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,182.783,pi/(2alpha) (err=15.09%),C1,Bohr radius n=2: 4*0.5292 = 2.117 Bohr = 112pm; transition 10.2 eV
Hydrogen Balmer-alpha (n=3),Map:     f+R->vx,vx_kms,2.3814e-13,4.57e+14,683.799,4.57e+14,1.43571e+15,4.57e+14,2.3814e-13,7.48139e-13,2.3814e-13,683.799,217.66,683.799,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,438.422,unresolved nearest=2/alpha (60.0%),C1,Bohr radius n=3: 9*0.5292 = 4.76 Bohr = 252pm; transition 1.89eV
Hydrogen excited n=10,Map:     f+R->vx,vx_kms,5.292e-12,3.28847e+13,1093.44,3.28847e+13,1.0331e+14,3.28847e+13,5.292e-12,1.66253e-11,5.292e-12,1093.44,348.051,1093.44,100,31.831,100,100,31.831,100,100,314.159,100,Sph:100.00% | Slab:31.83% | Tor:100.00%,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,274.175,2/alpha (err=0.04%),C1,Highly excited Rydberg state; R ~ n^2 * Bohr; binding 13.6/100 eV
