name,R_pm,R_fm,R_m,R_km,f_eV,f_MeV,f_Hz,vx_kms,note,fault_hint
Muonic Hydrogen (μp),,,,,,,,,Bohr radius scaled by m_e/m_μ ≈ 1/207; muonic Lyman-α ≈ 2.0 keV,
Muonic Hydrogen (μp),0.2562,,,,2000,,,,Bohr-scale R=0.5292/207 pm; f_E ≈ 2 keV Lyman-α,C1
Positronium (e+e-) ground,,,,,,,,,Bohr radius x2 because reduced mass = m_e/2; ionization 6.8 eV,
Positronium (e+e-) ground,105.84,,,,6.8028,,,,R=2*0.5292 Bohr=105.84pm; IE=6.8028eV ground state,C1
Antiprotonic Helium pHe,,,,,,,,,Atomic system: p-bar in He at n=39 metastable state,
Antiprotonic Helium pHe,38.0,,,,1.2,,,,n=39 orbit ~38pm; transition energies ~1eV scale; conservative IE estimate,C1
Hydrogen (H Z=1 ground),31,,,,13.5984,,,,Z=1 cov=31pm IE=13.5984eV groundstate baseline,C1
Hydrogen Lyman-alpha (n=2),105.84,,,,10.2,,,,Bohr radius n=2: 4*0.5292 = 2.117 Bohr = 112pm; transition 10.2 eV,C1
Hydrogen Balmer-alpha (n=3),238.14,,,,1.89,,,,Bohr radius n=3: 9*0.5292 = 4.76 Bohr = 252pm; transition 1.89eV,C1
Hydrogen excited n=10,5292,,,,0.136,,,,Highly excited Rydberg state; R ~ n^2 * Bohr; binding 13.6/100 eV,C1
Helium-Plus ion (He+),26.5,,,,54.4,,,,Hydrogen-like He+: R=Bohr/2; IE=4*13.6=54.4eV,C1
Lithium-Plus-Plus (Li2+),17.6,,,,122.4,,,,Hydrogen-like Li2+: R=Bohr/3; IE=9*13.6=122.4eV,C1
H-minus ion,77,,,,0.754,,,,Hydrogen anion bound state R~77pm electron affinity 0.754eV,C1
Sun (photosphere boundary),,,696340,,,,,,Solar photospheric R=696340km; substrate frequency unknown - Map vx mode requires both,
Sun coherence boundary at f=2.45GHz,,,,696340,,,,2.45e9,Sun R + WiFi resonance test - what vx makes Sun close at 2.45GHz,
Earth core boundary,,,3485,,,,,,R_inner_core=1220km outer core ends at 3485km from center,
Earth at PCF 7.4892 Hz,,,,6371,,,7.4892,,Canonical PCF for Earth - vacuum-ref input,
Mars at predicted PCF,,,,3390,,,14.07,,Canonical Mars PCF prediction R=3390km f=14.07Hz,
Moon at predicted PCF,,,,1737,,,27.47,,Lunar PCF: f = c/(2pi*R*1000m) but in km units = 47713/1737,
