object,mode,cv_observed,vx_observed_kms,assigned_anchor,anchor_cv,distance_pct,tight_hit_2pct
Muonic Hydrogen (μp),Map:     f+R->vx,385.1032187371945,778.473,3/α,411.1079972510874,-6.325534576747797,NO
Positronium (e+e-) ground,Map:     f+R->vx,274.0608818071286,1093.89,2/α,274.0719981673916,-0.0040560000063140575,YES
Antiprotonic Helium pHe,Map:     f+R->vx,4327.345789320223,69.2786,β7 (φ^18),5777.999826929732,-25.106508844953463,NO
Hydrogen (H Z=1 ground),Map:     f+R->vx,468.09804699210554,640.448,(2/α)·φ,443.45780839943853,5.556388482954087,NO
Hydrogen Lyman-alpha (n=2),Map:     f+R->vx,182.78356125964086,1640.15,(2/α)/φ,169.3858102320469,7.909606483116831,NO
Hydrogen Balmer-alpha (n=3),Map:     f+R->vx,438.42190175768025,683.799,(2/α)·φ,443.45780839943853,-1.1355999480388592,YES
Hydrogen excited n=10,Map:     f+R->vx,274.1736702516827,1093.44,2/α,274.0719981673916,0.037096852276396024,YES
Helium-Plus ion (He+),Map:     f+R->vx,136.88028289912245,2190.18,1/α,137.0359990836958,-0.11363158995779311,YES
Lithium-Plus-Plus (Li2+),Map:     f+R->vx,91.59925631021092,3272.87,(3/α)/φ^3,97.0494334450533,-5.615877333202689,NO
H-minus ion,Map:     f+R->vx,3398.7916640213316,88.2056,β7 (φ^18),5777.999826929732,-41.17702032145344,NO
Sun coherence boundary at f=2.45GHz,Predict: R+vx->f,0.00012236426857142857,2450000000.0,α,0.0072973525693,-98.32316902041686,NO
Earth at PCF 7.4892 Hz,Map:     f+R->vx,0.999994856468108,299794.0,1 (φ⁰),1.0,-0.0005143531891960151,YES
Mars at predicted PCF,Map:     f+R->vx,1.0003385420316258,299691.0,1 (φ⁰),1.0,0.03385420316257548,YES
Moon at predicted PCF,Map:     f+R->vx,0.9999581661413252,299805.0,1 (φ⁰),1.0,-0.004183385867484457,YES
Jupiter at predicted PCF,Map:     f+R->vx,0.9998381075303243,299841.0,1 (φ⁰),1.0,-0.016189246967568405,YES
Neutron Star at vacuum c,Predict: R+vx->f,1.0000015277258898,299792.0,1 (φ⁰),1.0,0.0001527725889793885,YES
Crab Pulsar (R=10km),Map:     f+R->vx,159.3259344291917,1881.63,(3/α)/φ^2,157.02928190301705,1.4625632228217733,YES
Crab Pulsar at actual R,Map:     f+R->vx,137.11379542180248,2186.45,1/α,137.0359990836958,0.056770730776491085,YES
White Dwarf Sirius B,Predict: R+vx->f,1.0000015277258898,299792.0,1 (φ⁰),1.0,0.0001527725889793885,YES
Earth-Moon system 384400 km,Predict: R+vx->f,1.0000015277258898,299792.0,1 (φ⁰),1.0,0.0001527725889793885,YES
H2 molecule bond length,Map:     f+R->vx,172.86377438345815,1734.27,(2/α)/φ,169.3858102320469,2.0532795200770777,NO
H2O bond O-H,Map:     f+R->vx,162.86252926764342,1840.77,(3/α)/φ^2,157.02928190301705,3.714751346967917,NO
N2 triple bond,Map:     f+R->vx,115.38422914237108,2598.21,φ^10,122.99186938124426,-6.185482241343432,NO
O2 double bond,Map:     f+R->vx,135.40639108951137,2214.02,1/α,137.0359990836958,-1.1891824083313538,YES
CO2 C-O bond,Map:     f+R->vx,123.15497377037057,2434.27,φ^10,122.99186938124426,0.13261396053810226,YES
CH4 methane C-H bond,Map:     f+R->vx,143.96003687928277,2082.47,1/α,137.0359990836958,5.052714499755688,NO
NH3 ammonia N-H,Map:     f+R->vx,192.67981952683635,1555.91,φ^11,199.0050249987407,-3.1784149530618033,NO
HCl molecule,Map:     f+R->vx,121.4806825457286,2467.82,φ^10,122.99186938124426,-1.2286884028336498,YES
NaCl bond,Map:     f+R->vx,90.84537352690732,3300.03,(3/α)/φ^3,97.0494334450533,-6.3926802021554705,NO
Diamond C-C bond,Map:     f+R->vx,113.69513085887871,2636.81,φ^10,122.99186938124426,-7.558823659755884,NO
Graphene C-C in-plane,Map:     f+R->vx,302.09289539845923,992.385,φ^12,321.996894379985,-6.181425761838958,NO
Benzene C-C aromatic,Map:     f+R->vx,153.63808454919567,1951.29,(3/α)/φ^2,157.02928190301705,-2.159595530670402,NO
DNA base pair distance,Map:     f+R->vx,165.82083266498148,1807.93,(2/α)/φ,169.3858102320469,-2.104649475762847,NO
Alpha particle (He-4 nucleus),Map:     f+R->vx,4.162188633246144,72027.6,φ^3,4.23606797749979,-1.7440547376968885,YES
Deuteron (D nucleus),Map:     f+R->vx,41.408999156052865,7239.79,integer 41,41.0,0.9975589172021087,YES
Triton (H-3),Map:     f+R->vx,13.225359890594671,22668.0,6π⁵·α,13.398801198145497,-1.2944539215555477,YES
He-6 (halo nucleus),Map:     f+R->vx,3.259743954697335,91968.1,π,3.141592653589793,3.7608727208008377,NO
Li-11 (halo nucleus),Map:     f+R->vx,0.7541038013019811,397548.0,1/φ,0.6180339887498948,22.01655815521027,NO
Be-11 (halo nucleus),Map:     f+R->vx,1.2235428046690064,245020.0,π/2,1.5707963267948966,-22.106845820962505,NO
C-14 radioactive,Map:     f+R->vx,0.7489381648304978,400290.0,1/φ,0.6180339887498948,21.18074061677167,NO
Tc-99 metastable,Map:     f+R->vx,0.05126331126914941,5848090.0,1α·φ^4,0.05001679859365633,2.492188045900202,NO
Cs-137 fission product,Map:     f+R->vx,0.035739869435324464,8388180.0,3α·φ,0.03542209345505632,0.8971123648333745,YES
I-131 fission product,Map:     f+R->vx,0.03752593685770578,7988940.0,2α·φ^2,0.03820943410863755,-1.7888180416083772,YES
Pu-239 fissile,Map:     f+R->vx,0.01898910904760698,15787600.0,1α·φ^2,0.019104717054318775,-0.6051280758730727,YES
Pu-244 (longest-lived Pu),Map:     f+R->vx,0.018577954886286174,16137000.0,1α·φ^2,0.019104717054318775,-2.757236165994528,NO
Cm-247,Map:     f+R->vx,0.01816406587214551,16504700.0,1α·φ^2,0.019104717054318775,-4.923659321929738,NO
