Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Map:     f+R->vx,vx_kms,3.1e-14,3.28808e+15,640.448,3.28808e+15,1.03298e+16,3.28808e+15,3.1e-14,9.73894e-14,3.1e-14,640.448,203.861,640.448,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 cov=31pm IE=13.5984eV geo=measured
Helium (He Z=2),Map:     f+R->vx,vx_kms,2.8e-14,5.94521e+15,1045.94,5.94521e+15,1.86774e+16,5.94521e+15,2.8e-14,8.79646e-14,2.8e-14,1045.94,332.932,1045.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 cov=28pm IE=24.5874eV geo=measured
Lithium (Li Z=3),Map:     f+R->vx,vx_kms,1.28e-13,1.30371e+15,1048.5,1.30371e+15,4.09572e+15,1.30371e+15,1.28e-13,4.02124e-13,1.28e-13,1048.5,333.749,1048.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 cov=128pm IE=5.3917eV geo=measured
Beryllium (Be Z=4),Map:     f+R->vx,vx_kms,9.6e-14,2.25422e+15,1359.71,2.25422e+15,7.08184e+15,2.25422e+15,9.6e-14,3.01593e-13,9.6e-14,1359.71,432.81,1359.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 cov=96pm IE=9.3227eV geo=measured
Boron (B Z=5),Map:     f+R->vx,vx_kms,8.4e-14,2.00645e+15,1058.98,2.00645e+15,6.30344e+15,2.00645e+15,8.4e-14,2.63894e-13,8.4e-14,1058.98,337.083,1058.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 cov=84pm IE=8.2980eV geo=measured
Carbon (C Z=6),Map:     f+R->vx,vx_kms,7.7e-14,2.72273e+15,1317.27,2.72273e+15,8.5537e+15,2.72273e+15,7.7e-14,2.41903e-13,7.7e-14,1317.27,419.3,1317.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 cov=77pm IE=11.2603eV geo=measured
Nitrogen (N Z=7),Map:     f+R->vx,vx_kms,7.1e-14,3.51433e+15,1567.76,3.51433e+15,1.10406e+16,3.51433e+15,7.1e-14,2.23053e-13,7.1e-14,1567.76,499.035,1567.76,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 cov=71pm IE=14.5341eV geo=measured
Oxygen (O Z=8),Map:     f+R->vx,vx_kms,6.6e-14,3.29284e+15,1365.51,3.29284e+15,1.03448e+16,3.29284e+15,6.6e-14,2.07345e-13,6.6e-14,1365.51,434.655,1365.51,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 cov=66pm IE=13.6181eV geo=measured
Fluorine (F Z=9),Map:     f+R->vx,vx_kms,5.7e-14,4.21281e+15,1508.78,4.21281e+15,1.32349e+16,4.21281e+15,5.7e-14,1.79071e-13,5.7e-14,1508.78,480.261,1508.78,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 cov=57pm IE=17.4228eV geo=measured
Neon (Ne Z=10),Map:     f+R->vx,vx_kms,5.8e-14,5.21427e+15,1900.21,5.21427e+15,1.63811e+16,5.21427e+15,5.8e-14,1.82212e-13,5.8e-14,1900.21,604.856,1900.21,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 cov=58pm IE=21.5645eV geo=measured
