name,R_pm,R_fm,f_eV,f_MeV,note,fault_hint
Hydrogen (H Z=1),31,,13.5984,,Z=1 cov=31pm IE=13.5984eV geo=measured,C1
Helium (He Z=2),28,,24.5874,,Z=2 cov=28pm IE=24.5874eV geo=measured,C1
Lithium (Li Z=3),128,,5.3917,,Z=3 cov=128pm IE=5.3917eV geo=measured,C1
Beryllium (Be Z=4),96,,9.3227,,Z=4 cov=96pm IE=9.3227eV geo=measured,C1
Boron (B Z=5),84,,8.2980,,Z=5 cov=84pm IE=8.2980eV geo=measured,C1
Carbon (C Z=6),77,,11.2603,,Z=6 cov=77pm IE=11.2603eV geo=measured,C1
Nitrogen (N Z=7),71,,14.5341,,Z=7 cov=71pm IE=14.5341eV geo=measured,C1
Oxygen (O Z=8),66,,13.6181,,Z=8 cov=66pm IE=13.6181eV geo=measured,C1
Fluorine (F Z=9),57,,17.4228,,Z=9 cov=57pm IE=17.4228eV geo=measured,C1
Neon (Ne Z=10),58,,21.5645,,Z=10 cov=58pm IE=21.5645eV geo=measured,C1
Sodium (Na Z=11),166,,5.1391,,Z=11 cov=166pm IE=5.1391eV geo=measured,C1
Magnesium (Mg Z=12),141,,7.6462,,Z=12 cov=141pm IE=7.6462eV geo=measured,C1
Aluminum (Al Z=13),121,,5.9858,,Z=13 cov=121pm IE=5.9858eV geo=measured,C1
Silicon (Si Z=14),111,,8.1517,,Z=14 cov=111pm IE=8.1517eV geo=measured,C1
Phosphorus (P Z=15),107,,10.4867,,Z=15 cov=107pm IE=10.4867eV geo=measured,C1
Sulfur (S Z=16),105,,10.3600,,Z=16 cov=105pm IE=10.3600eV geo=measured,C1
Chlorine (Cl Z=17),102,,12.9676,,Z=17 cov=102pm IE=12.9676eV geo=measured,C1
Argon (Ar Z=18),106,,15.7596,,Z=18 cov=106pm IE=15.7596eV geo=measured,C1
Potassium (K Z=19),203,,4.3407,,Z=19 cov=203pm IE=4.3407eV geo=measured,C1
Calcium (Ca Z=20),176,,6.1132,,Z=20 cov=176pm IE=6.1132eV geo=measured,C1
Scandium (Sc Z=21),170,,6.5615,,Z=21 cov=170pm IE=6.5615eV geo=measured,C1
Titanium (Ti Z=22),160,,6.8281,,Z=22 cov=160pm IE=6.8281eV geo=measured,C1
Vanadium (V Z=23),153,,6.7462,,Z=23 cov=153pm IE=6.7462eV geo=measured,C1
Chromium (Cr Z=24),139,,6.7665,,Z=24 cov=139pm IE=6.7665eV geo=measured,C1
Manganese (Mn Z=25),139,,7.4340,,Z=25 cov=139pm IE=7.4340eV geo=measured,C1
Iron (Fe Z=26),132,,7.9024,,Z=26 cov=132pm IE=7.9024eV geo=measured,C1
Cobalt (Co Z=27),126,,7.8810,,Z=27 cov=126pm IE=7.8810eV geo=measured,C1
Nickel (Ni Z=28),124,,7.6398,,Z=28 cov=124pm IE=7.6398eV geo=measured,C1
Copper (Cu Z=29),132,,7.7264,,Z=29 cov=132pm IE=7.7264eV geo=measured,C1
Zinc (Zn Z=30),122,,9.3942,,Z=30 cov=122pm IE=9.3942eV geo=measured,C1
Gallium (Ga Z=31),122,,5.9993,,Z=31 cov=122pm IE=5.9993eV geo=measured,C1
Germanium (Ge Z=32),120,,7.8994,,Z=32 cov=120pm IE=7.8994eV geo=measured,C1
Arsenic (As Z=33),119,,9.7886,,Z=33 cov=119pm IE=9.7886eV geo=measured,C1
Selenium (Se Z=34),120,,9.7524,,Z=34 cov=120pm IE=9.7524eV geo=measured,C1
Bromine (Br Z=35),120,,11.8138,,Z=35 cov=120pm IE=11.8138eV geo=measured,C1
Krypton (Kr Z=36),116,,13.9996,,Z=36 cov=116pm IE=13.9996eV geo=measured,C1
Rubidium (Rb Z=37),220,,4.1771,,Z=37 cov=220pm IE=4.1771eV geo=measured,C1
Strontium (Sr Z=38),195,,5.6949,,Z=38 cov=195pm IE=5.6949eV geo=measured,C1
Yttrium (Y Z=39),190,,6.2171,,Z=39 cov=190pm IE=6.2171eV geo=measured,C1
Zirconium (Zr Z=40),175,,6.6339,,Z=40 cov=175pm IE=6.6339eV geo=measured,C1
Niobium (Nb Z=41),164,,6.7589,,Z=41 cov=164pm IE=6.7589eV geo=measured,C1
Molybdenum (Mo Z=42),154,,7.0924,,Z=42 cov=154pm IE=7.0924eV geo=measured,C1
Technetium (Tc Z=43),147,,7.28,,Z=43 cov=147pm IE=7.28eV geo=measured,C1
Ruthenium (Ru Z=44),146,,7.3605,,Z=44 cov=146pm IE=7.3605eV geo=measured,C1
Rhodium (Rh Z=45),142,,7.4589,,Z=45 cov=142pm IE=7.4589eV geo=measured,C1
Palladium (Pd Z=46),139,,8.3369,,Z=46 cov=139pm IE=8.3369eV geo=measured,C1
Silver (Ag Z=47),145,,7.5762,,Z=47 cov=145pm IE=7.5762eV geo=measured,C1
Cadmium (Cd Z=48),144,,8.9938,,Z=48 cov=144pm IE=8.9938eV geo=measured,C1
Indium (In Z=49),142,,5.7864,,Z=49 cov=142pm IE=5.7864eV geo=measured,C1
Tin (Sn Z=50),139,,7.3439,,Z=50 cov=139pm IE=7.3439eV geo=measured,C1
Antimony (Sb Z=51),139,,8.6084,,Z=51 cov=139pm IE=8.6084eV geo=measured,C1
Tellurium (Te Z=52),138,,9.0096,,Z=52 cov=138pm IE=9.0096eV geo=measured,C1
Iodine (I Z=53),139,,10.4513,,Z=53 cov=139pm IE=10.4513eV geo=measured,C1
Xenon (Xe Z=54),140,,12.1298,,Z=54 cov=140pm IE=12.1298eV geo=measured,C1
Cesium (Cs Z=55),244,,3.8939,,Z=55 cov=244pm IE=3.8939eV geo=measured,C1
Barium (Ba Z=56),215,,5.2117,,Z=56 cov=215pm IE=5.2117eV geo=measured,C1
Lanthanum (La Z=57),207,,5.5769,,Z=57 cov=207pm IE=5.5769eV geo=measured,C1
Cerium (Ce Z=58),204,,5.5387,,Z=58 cov=204pm IE=5.5387eV geo=measured,C1
Praseodymium (Pr Z=59),203,,5.473,,Z=59 cov=203pm IE=5.473eV geo=measured,C1
Neodymium (Nd Z=60),201,,5.5250,,Z=60 cov=201pm IE=5.5250eV geo=measured,C1
Promethium (Pm Z=61),199,,5.582,,Z=61 cov=199pm IE=5.582eV geo=measured,C1
Samarium (Sm Z=62),198,,5.6437,,Z=62 cov=198pm IE=5.6437eV geo=measured,C1
Europium (Eu Z=63),198,,5.6704,,Z=63 cov=198pm IE=5.6704eV geo=measured,C1
Gadolinium (Gd Z=64),196,,6.1498,,Z=64 cov=196pm IE=6.1498eV geo=measured,C1
Terbium (Tb Z=65),194,,5.8638,,Z=65 cov=194pm IE=5.8638eV geo=measured,C1
Dysprosium (Dy Z=66),192,,5.9389,,Z=66 cov=192pm IE=5.9389eV geo=measured,C1
Holmium (Ho Z=67),192,,6.0215,,Z=67 cov=192pm IE=6.0215eV geo=measured,C1
Erbium (Er Z=68),189,,6.1077,,Z=68 cov=189pm IE=6.1077eV geo=measured,C1
Thulium (Tm Z=69),190,,6.1843,,Z=69 cov=190pm IE=6.1843eV geo=measured,C1
Ytterbium (Yb Z=70),187,,6.2542,,Z=70 cov=187pm IE=6.2542eV geo=measured,C1
Lutetium (Lu Z=71),187,,5.4259,,Z=71 cov=187pm IE=5.4259eV geo=measured,C1
Hafnium (Hf Z=72),175,,6.8251,,Z=72 cov=175pm IE=6.8251eV geo=measured,C1
Tantalum (Ta Z=73),170,,7.5496,,Z=73 cov=170pm IE=7.5496eV geo=measured,C1
Tungsten (W Z=74),162,,7.8640,,Z=74 cov=162pm IE=7.8640eV geo=measured,C1
Rhenium (Re Z=75),151,,7.8335,,Z=75 cov=151pm IE=7.8335eV geo=measured,C1
Osmium (Os Z=76),144,,8.4382,,Z=76 cov=144pm IE=8.4382eV geo=measured,C1
