anchor_name,anchor_value_cv,predicted_vx_local_kms,occupant_count,element_occupants_count,nuclide_occupants_count,tier,best_element_match,best_element_match_err_pct,best_nuclide_match,best_nuclide_match_err_pct,all_element_occupants,all_nuclide_occupants,status
α,0.00729735,4.108e+07,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
1α·φ,0.0118074,2.539e+07,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
2α,0.0145947,2.054e+07,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
1α·φ^2,0.0191047,1.569e+07,2,0,2,sub-unit (deep nuclear / exotic),,,Uranium-235 (Z=92 A=235),+0.748,,Uranium-235 (Z=92 A=235) (+0.75%); Uranium-238 (Z=92 A=238) (+2.12%),POPULATED
3α,0.0218921,1.369e+07,4,0,4,sub-unit (deep nuclear / exotic),,,Lead-208 (Z=82 A=208),+0.124,,Lead-204 (Z=82 A=204) (+2.42%); Lead-206 (Z=82 A=206) (+1.13%); Lead-207 (Z=82 A=207) (+0.70%); Lead-208 (Z=82 A=208) (+0.12%),POPULATED
2α·φ,0.0236147,1.27e+07,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
1α·φ^3,0.0309121,9.698e+06,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
3α·φ,0.0354221,8.463e+06,4,0,4,sub-unit (deep nuclear / exotic),,,Xenon-136 (Z=54 A=136),+0.931,,Xenon-131 (Z=54 A=131) (+3.49%); Xenon-132 (Z=54 A=132) (+2.98%); Xenon-134 (Z=54 A=134) (+1.92%); Xenon-136 (Z=54 A=136) (+0.93%),POPULATED
2α·φ^2,0.0382094,7.846e+06,12,0,12,sub-unit (deep nuclear / exotic),,,Xenon-126 (Z=54 A=126),+0.210,,Tin-116 (Z=50 A=116) (+12.91%); Tin-117 (Z=50 A=117) (+11.69%); Tin-118 (Z=50 A=118) (+10.25%); Tin-119 (Z=50 A=119) (+9.12%); Tin-120 (Z=50 A=120) (+8.78%); Tin-122 (Z=50 A=122) (+7.04%); Tin-124 (Z=50 A=124) (+5.25%); Xenon-124 (Z=54 A=124) (+2.03%); Xenon-126 (Z=54 A=126) (+0.21%); Xenon-128 (Z=54 A=128) (+1.43%); Xenon-129 (Z=54 A=129) (+2.26%); Xenon-130 (Z=54 A=130) (+3.16%),DENSELY POPULATED (substrate harmonic)
1α·φ^4,0.0500168,5.994e+06,2,0,2,sub-unit (deep nuclear / exotic),,,Tin-112 (Z=50 A=112),+9.929,,Tin-112 (Z=50 A=112) (+9.93%); Tin-114 (Z=50 A=114) (+11.91%),POPULATED
3α·φ^2,0.0573142,5.231e+06,0,0,0,sub-unit (deep nuclear / exotic),,,,,,,EMPTY (substrate prediction)
2α·φ^3,0.0618242,4.849e+06,8,0,8,sub-unit (deep nuclear / exotic),,,Krypton-86 (Z=36 A=86),+0.676,,Selenium-80 (Z=34 A=80) (+10.31%); Selenium-82 (Z=34 A=82) (+7.63%); Krypton-78 (Z=36 A=78) (+12.26%); Krypton-80 (Z=36 A=80) (+8.39%); Krypton-82 (Z=36 A=82) (+4.91%); Krypton-83 (Z=36 A=83) (+3.67%); Krypton-84 (Z=36 A=84) (+1.99%); Krypton-86 (Z=36 A=86) (+0.68%),DENSELY POPULATED (substrate harmonic)
1α·φ^5,0.0809289,3.704e+06,11,0,11,sub-unit (deep nuclear / exotic),,,Zinc-70 (Z=30 A=70),+0.123,,Zinc-68 (Z=30 A=68) (+3.03%); Zinc-70 (Z=30 A=70) (+0.12%); Germanium-70 (Z=32 A=70) (+1.27%); Germanium-72 (Z=32 A=72) (+4.47%); Germanium-73 (Z=32 A=73) (+5.71%); Germanium-74 (Z=32 A=74) (+7.54%); Germanium-76 (Z=32 A=76) (+9.56%); Selenium-74 (Z=34 A=74) (+7.30%); Selenium-76 (Z=34 A=76) (+10.60%); Selenium-77 (Z=34 A=77) (+11.65%); Selenium-78 (Z=34 A=78) (+13.22%),DENSELY POPULATED (substrate harmonic)
3α·φ^3,0.0927362,3.233e+06,6,0,6,sub-unit (deep nuclear / exotic),,,Copper-63 (Z=29 A=63),+1.105,,Nickel-62 (Z=28 A=62) (+1.77%); Nickel-64 (Z=28 A=64) (+1.68%); Copper-63 (Z=29 A=63) (+1.10%); Copper-65 (Z=29 A=65) (+5.04%); Zinc-64 (Z=30 A=64) (+3.14%); Zinc-66 (Z=30 A=66) (+6.80%),DENSELY POPULATED (substrate harmonic)
2α·φ^4,0.100034,2.997e+06,8,0,8,sub-unit (deep nuclear / exotic),,,Nickel-60 (Z=28 A=60),+1.774,,Chromium-54 (Z=24 A=54) (+12.88%); Iron-54 (Z=26 A=54) (+13.25%); Iron-56 (Z=26 A=56) (+7.21%); Iron-57 (Z=26 A=57) (+5.11%); Iron-58 (Z=26 A=58) (+2.47%); Nickel-58 (Z=28 A=58) (+3.16%); Nickel-60 (Z=28 A=60) (+1.77%); Nickel-61 (Z=28 A=61) (+3.26%),DENSELY POPULATED (substrate harmonic)
1α·φ^6,0.130946,2.289e+06,9,0,9,sub-unit (deep nuclear / exotic),,,Titanium-48 (Z=22 A=48),+0.230,,Calcium-48 (Z=20 A=48) (+4.18%); Titanium-46 (Z=22 A=46) (+4.92%); Titanium-47 (Z=22 A=47) (+2.46%); Titanium-48 (Z=22 A=48) (+0.23%); Titanium-49 (Z=22 A=49) (+2.31%); Titanium-50 (Z=22 A=50) (+5.21%); Chromium-50 (Z=24 A=50) (+5.33%); Chromium-52 (Z=24 A=52) (+9.89%); Chromium-53 (Z=24 A=53) (+11.65%),DENSELY POPULATED (substrate harmonic)
3α·φ^4,0.15005,1.998e+06,4,0,4,sub-unit (deep nuclear / exotic),,,Calcium-44 (Z=20 A=44),+1.840,,Calcium-42 (Z=20 A=42) (+3.58%); Calcium-43 (Z=20 A=43) (+2.04%); Calcium-44 (Z=20 A=44) (+1.84%); Calcium-46 (Z=20 A=46) (+5.96%),POPULATED
2α·φ^5,0.161858,1.852e+06,8,0,8,sub-unit (deep nuclear / exotic),,,Potassium-41 (Z=19 A=41),+0.467,,Chlorine-37 (Z=17 A=37) (+13.19%); Argon-36 (Z=18 A=36) (+15.97%); Argon-38 (Z=18 A=38) (+9.44%); Argon-40 (Z=18 A=40) (+3.46%); Potassium-39 (Z=19 A=39) (+6.35%); Potassium-40 (Z=19 A=40) (+3.35%); Potassium-41 (Z=19 A=41) (+0.47%); Calcium-40 (Z=20 A=40) (+2.49%),DENSELY POPULATED (substrate harmonic)
φ^-3,0.236068,1.27e+06,6,0,6,sub-unit (deep nuclear / exotic),,,Phosphorus-31 (Z=15 A=31),+0.301,,Phosphorus-31 (Z=15 A=31) (+0.30%); Sulfur-32 (Z=16 A=32) (+5.69%); Sulfur-33 (Z=16 A=33) (+8.05%); Sulfur-34 (Z=16 A=34) (+12.83%); Sulfur-36 (Z=16 A=36) (+17.95%); Chlorine-35 (Z=17 A=35) (+16.70%),DENSELY POPULATED (substrate harmonic)
3α·φ^5,0.242787,1.235e+06,2,0,2,sub-unit (deep nuclear / exotic),,,Hydrogen-1 (Z=1 A=1),+1.374,,Hydrogen-1 (Z=1 A=1) (+1.37%); Silicon-30 (Z=14 A=30) (+1.47%),POPULATED
2α·φ^6,0.261891,1.145e+06,4,0,4,sub-unit (deep nuclear / exotic),,,Silicon-29 (Z=14 A=29),+0.926,,Magnesium-26 (Z=12 A=26) (+14.61%); Aluminum-27 (Z=13 A=27) (+9.42%); Silicon-28 (Z=14 A=28) (+2.02%); Silicon-29 (Z=14 A=29) (+0.93%),POPULATED
1/φ²,0.381966,7.849e+05,4,0,4,sub-unit (deep nuclear / exotic),,,Neon-22 (Z=10 A=22),+3.309,,Neon-22 (Z=10 A=22) (+3.31%); Sodium-23 (Z=11 A=23) (+7.50%); Magnesium-24 (Z=12 A=24) (+14.76%); Magnesium-25 (Z=12 A=25) (+17.24%),POPULATED
3α·φ^6,0.392837,7.631e+05,3,0,3,sub-unit (deep nuclear / exotic),,,Neon-21 (Z=10 A=21),+1.415,,Fluorine-19 (Z=9 A=19) (+17.29%); Neon-20 (Z=10 A=20) (+4.45%); Neon-21 (Z=10 A=21) (+1.42%),POPULATED
1/φ,0.618034,4.851e+05,5,0,5,sub-unit (deep nuclear / exotic),,,Nitrogen-15 (Z=7 A=15),+6.287,,Nitrogen-14 (Z=7 A=14) (+19.25%); Nitrogen-15 (Z=7 A=15) (+6.29%); Oxygen-16 (Z=8 A=16) (+7.31%); Oxygen-17 (Z=8 A=17) (+10.02%); Oxygen-18 (Z=8 A=18) (+17.63%),POPULATED
1 (φ⁰),1,2.998e+05,3,0,3,low (light nuclei / exotic atoms),,,Boron-11 (Z=5 A=11),+7.669,,Boron-11 (Z=5 A=11) (+7.67%); Carbon-12 (Z=6 A=12) (+13.32%); Carbon-13 (Z=6 A=13) (+17.44%),POPULATED
π/2,1.5708,1.909e+05,2,0,2,low (light nuclei / exotic atoms),,,Beryllium-9 (Z=4 A=9),+14.262,,Beryllium-9 (Z=4 A=9) (+14.26%); Boron-10 (Z=5 A=10) (+20.09%),POPULATED
φ,1.61803,1.853e+05,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
π/φ,1.94161,1.544e+05,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
integer 2,2,1.499e+05,1,0,1,low (light nuclei / exotic atoms),,,Lithium-7 (Z=3 A=7),+2.868,,Lithium-7 (Z=3 A=7) (+2.87%),POPULATED
φ²,2.61803,1.145e+05,1,0,1,low (light nuclei / exotic atoms),,,Lithium-6 (Z=3 A=6),+9.008,,Lithium-6 (Z=3 A=6) (+9.01%),POPULATED
integer 3,3,9.993e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
π,3.14159,9.543e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
2π/φ,3.88322,7.72e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
integer 4,4,7.495e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
φ^3,4.23607,7.077e+04,1,0,1,low (light nuclei / exotic atoms),,,Helium-4 (Z=2 A=4),+1.744,,Helium-4 (Z=2 A=4) (+1.74%),POPULATED
integer 5,5,5.996e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
π·φ,5.0832,5.898e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
integer 6,6,4.997e+04,0,0,0,low (light nuclei / exotic atoms),,,,,,,EMPTY (substrate prediction)
