object,tier,Z,A,cv_observed,vx_observed_kms,assigned_anchor,anchor_cv,anchor_vx_pred_kms,distance_pct,tight_hit_2pct
Hydrogen (H Z=1),element,1,,468.0980469921055,640.448,(2/α)·φ,443.45780839943853,676.0337789113097,5.556388482954087,NO
Helium (He Z=2),element,2,,286.62490965064916,1045.94,2/α,274.0719981673916,1093.845631821531,4.580151043227251,NO
Lithium (Li Z=3),element,3,,285.9250910824988,1048.5,2/α,274.0719981673916,1093.845631821531,4.324809901910457,NO
Beryllium (Be Z=4),element,4,,222.97516283531087,1344.5105463222658,(1/α)·φ,221.72890419971927,1352.0675578226194,0.5620641296585671,YES
Boron (B Z=5),element,5,,283.09548622259155,1058.98,2/α,274.0719981673916,1093.845631821531,3.2923786871830605,NO
Carbon (C Z=6),element,6,,227.58618810114857,1317.27,(1/α)·φ,221.72890419971927,1352.0675578226194,2.641642018919387,NO
Nitrogen (N Z=7),element,7,,206.78661146097076,1449.7672546686288,φ^11,199.0050249987407,1506.4567239038163,3.9102462172898727,NO
Oxygen (O Z=8),element,8,,223.9116622708858,1338.8871975650577,(1/α)·φ,221.72890419971927,1352.0675578226194,0.9844264910092574,YES
Fluorine (F Z=9),element,9,,199.31146040854202,1504.1405917426691,φ^11,199.0050249987407,1506.4567239038163,0.15398375483395402,YES
Neon (Ne Z=10),element,10,,157.76806668736612,1900.21,(3/α)/φ^2,157.02928190301705,1909.1500283695814,0.4704758089674931,YES
Sodium (Na Z=11),element,11,,231.3088475159521,1296.0699999999997,(1/α)·φ,221.72890419971927,1352.0675578226194,4.3205658508120335,NO
Magnesium (Mg Z=12),element,12,,214.97986696269385,1394.5141107191398,φ^11,199.0050249987407,1506.4567239038163,8.027356075081132,NO
Aluminum (Al Z=13),element,13,,275.69951533730966,1087.3884113768331,2/α,274.0719981673916,1093.845631821531,0.5938283300740727,YES
Silicon (Si Z=14),element,14,,218.0800456830267,1374.69,π/(2α),215.25564399933816,1392.7275142709927,1.3121150420089422,YES
Phosphorus (P Z=15),element,15,,175.85920233702697,1704.73,(2/α)/φ,169.3858102320469,1769.8794107328408,3.821685001897126,NO
Sulfur (S Z=16),element,16,,181.39996006438105,1652.66,(2/α)/φ,169.3858102320469,1769.8794107328408,7.092772302399819,NO
Chlorine (Cl Z=17),element,17,,164.87320305003644,1818.321306640823,(3/α)/φ^2,157.02928190301705,1909.1500283695814,4.995196470339764,NO
Argon (Ar Z=18),element,18,,127.86034123061255,2344.686828727336,φ^10,122.99186938124426,2437.498181857191,3.958368853047695,NO
Potassium (K Z=19),element,19,,223.93962740528264,1338.72,(1/α)·φ,221.72890419971927,1352.0675578226194,0.9970387999446794,YES
Calcium (Ca Z=20),element,20,,214.60812294409897,1396.9296869442812,φ^11,199.0050249987407,1506.4567239038163,7.840554752553104,NO
Scandium (Sc Z=21),element,21,,176.90314810553085,1694.67,(2/α)/φ,169.3858102320469,1769.8794107328408,4.43799741146304,NO
Titanium (Ti Z=22),element,22,,180.62071587369485,1659.79,(2/α)/φ,169.3858102320469,1769.8794107328408,6.632731293286547,NO
Vanadium (V Z=23),element,23,,206.83294973857596,1449.4424528534698,φ^11,199.0050249987407,1506.4567239038163,3.9335311959508643,NO
Chromium (Cr Z=24),element,24,,220.71069595142453,1358.3050731079218,π/(2α),215.25564399933816,1392.7275142709927,2.53422017222607,NO
Manganese (Mn Z=25),element,25,,207.0472765724225,1447.9420495788863,φ^11,199.0050249987407,1506.4567239038163,4.041230402967305,NO
Iron (Fe Z=26),element,26,,208.83909269768398,1435.5188682704168,φ^11,199.0050249987407,1506.4567239038163,4.9416177802573085,NO
Cobalt (Co Z=27),element,27,,199.29302141544727,1504.279757869951,φ^11,199.0050249987407,1506.4567239038163,0.14471816312598798,YES
Nickel (Ni Z=28),element,28,,222.21503992675045,1349.1096646690596,π/(2α),215.25564399933816,1392.7275142709927,3.2330840660483284,NO
Copper (Cu Z=29),element,29,,204.53065174774602,1465.7580926781736,φ^11,199.0050249987407,1506.4567239038163,2.7766267455006615,NO
Zinc (Zn Z=30),element,30,,172.17379653346504,1741.22,(2/α)/φ,169.3858102320469,1769.8794107328408,1.6459385220041634,YES
Gallium (Ga Z=31),element,31,,278.5391886511227,1076.302618140737,2/α,274.0719981673916,1093.845631821531,1.629933197700378,YES
Germanium (Ge Z=32),element,32,,222.34521061838527,1348.3198363761417,π/(2α),215.25564399933816,1392.7275142709927,3.2935566693289133,NO
Arsenic (As Z=33),element,33,,169.40202519056794,1769.71,(2/α)/φ,169.3858102320469,1769.8794107328408,0.009572796268364842,YES
Selenium (Se Z=34),element,34,,170.15754269044058,1761.8523002850245,(2/α)/φ,169.3858102320469,1769.8794107328408,0.45560632105868326,YES
Bromine (Br Z=35),element,35,,139.19233819296124,2153.8,1/α,137.0359990836958,2187.691263643062,1.5735566739280271,YES
Krypton (Kr Z=36),element,36,,124.47351348869857,2408.4839384502416,φ^10,122.99186938124426,2437.498181857191,1.2046683369463929,YES
Rubidium (Rb Z=37),element,37,,215.7833160758887,1389.3217670942,π/(2α),215.25564399933816,1392.7275142709927,0.2451373941916889,YES
Strontium (Sr Z=38),element,38,,177.69164448922737,1687.15,(2/α)/φ,169.3858102320469,1769.8794107328408,4.903500621334245,NO
Yttrium (Y Z=39),element,39,,171.7218898789593,1745.802228308302,(2/α)/φ,169.3858102320469,1769.8794107328408,1.3791471928564305,YES
Zirconium (Zr Z=40),element,40,,169.9725349677112,1763.77,(2/α)/φ,169.3858102320469,1769.8794107328408,0.3463836403182286,YES
Niobium (Nb Z=41),element,41,,178.01873934859415,1684.05,(2/α)/φ,169.3858102320469,1769.8794107328408,5.096607032620222,NO
Molybdenum (Mo Z=42),element,42,,180.66425493705518,1659.3899999999999,(2/α)/φ,169.3858102320469,1769.8794107328408,6.658435372808133,NO
Technetium (Tc Z=43),element,43,,213.61996844064382,1403.3915470935947,φ^11,199.0050249987407,1506.4567239038163,7.3440072390109705,NO
Ruthenium (Ru Z=44),element,44,,214.3868251789349,1398.3716478369531,φ^11,199.0050249987407,1506.4567239038163,7.72935265342749,NO
Rhodium (Rh Z=45),element,45,,211.70519463906243,1416.0845628333216,φ^11,199.0050249987407,1506.4567239038163,6.381833644854976,NO
Palladium (Pd Z=46),element,46,,170.28147588565068,1760.5699999999997,(2/α)/φ,169.3858102320469,1769.8794107328408,0.5287725414406147,YES
Silver (Ag Z=47),element,47,,179.62507744204578,1668.99,(2/α)/φ,169.3858102320469,1769.8794107328408,6.044938000397896,NO
Cadmium (Cd Z=48),element,48,,161.69480371129987,1854.0636502782638,(3/α)/φ^2,157.02928190301705,1909.1500283695814,2.9711158019332307,NO
