Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Detect:  f+vx->R,R_km,1.4511e-11,3.28808e+15,299792,3.28808e+15,1.03298e+16,3.28808e+15,1.4511e-11,4.55878e-11,1.4511e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 | Cov=31pm | geo=measured | IE=13.5984eV
Helium (He Z=2),Detect:  f+vx->R,R_km,8.02553e-12,5.94521e+15,299792,5.94521e+15,1.86774e+16,5.94521e+15,8.02553e-12,2.5213e-11,8.02553e-12,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 | Cov=28pm | geo=measured | IE=24.5874eV
Lithium (Li Z=3),Detect:  f+vx->R,R_km,3.65983e-11,1.30371e+15,299792,1.30371e+15,4.09572e+15,1.30371e+15,3.65983e-11,1.14977e-10,3.65983e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 | Cov=128pm | geo=measured | IE=5.3917eV
Beryllium (Be Z=4),Detect:  f+vx->R,R_km,2.11663e-11,2.25422e+15,299792,2.25422e+15,7.08184e+15,2.25422e+15,2.11663e-11,6.64959e-11,2.11663e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 | Cov=96pm | geo=measured | IE=9.3227eV
Boron (B Z=5),Detect:  f+vx->R,R_km,2.37801e-11,2.00645e+15,299792,2.00645e+15,6.30344e+15,2.00645e+15,2.37801e-11,7.47073e-11,2.37801e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 | Cov=84pm | geo=measured | IE=8.298eV
Carbon (C Z=6),Detect:  f+vx->R,R_km,1.75241e-11,2.72273e+15,299792,2.72273e+15,8.5537e+15,2.72273e+15,1.75241e-11,5.50537e-11,1.75241e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 | Cov=77pm | geo=measured | IE=11.2603eV
Nitrogen (N Z=7),Detect:  f+vx->R,R_km,1.35768e-11,3.51433e+15,299792,3.51433e+15,1.10406e+16,3.51433e+15,1.35768e-11,4.26529e-11,1.35768e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 | Cov=71pm | geo=measured | IE=14.5341eV
Oxygen (O Z=8),Detect:  f+vx->R,R_km,1.44901e-11,3.29284e+15,299792,3.29284e+15,1.03448e+16,3.29284e+15,1.44901e-11,4.55218e-11,1.44901e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 | Cov=66pm | geo=measured | IE=13.6181eV
Fluorine (F Z=9),Detect:  f+vx->R,R_km,1.13258e-11,4.21281e+15,299792,4.21281e+15,1.32349e+16,4.21281e+15,1.13258e-11,3.5581e-11,1.13258e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 | Cov=57pm | geo=measured | IE=17.4228eV
Neon (Ne Z=10),Detect:  f+vx->R,R_km,9.15055e-12,5.21427e+15,299792,5.21427e+15,1.63811e+16,5.21427e+15,9.15055e-12,2.87473e-11,9.15055e-12,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 | Cov=58pm | geo=measured | IE=21.5645eV
Sodium (Na Z=11),Detect:  f+vx->R,R_km,3.83972e-11,1.24263e+15,299792,1.24263e+15,3.90383e+15,1.24263e+15,3.83972e-11,1.20628e-10,3.83972e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 | Cov=166pm | geo=measured | IE=5.1391eV
Magnesium (Mg Z=12),Detect:  f+vx->R,R_km,2.58072e-11,1.84884e+15,299792,1.84884e+15,5.80831e+15,1.84884e+15,2.58072e-11,8.10757e-11,2.58072e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 | Cov=141pm | geo=measured | IE=7.6462eV
Aluminum (Al Z=13),Detect:  f+vx->R,R_km,3.29658e-11,1.44736e+15,299792,1.44736e+15,4.54702e+15,1.44736e+15,3.29658e-11,1.03565e-10,3.29658e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=13 | Cov=121pm | geo=measured | IE=5.9858eV
Silicon (Si Z=14),Detect:  f+vx->R,R_km,2.42069e-11,1.97107e+15,299792,1.97107e+15,6.19231e+15,1.97107e+15,2.42069e-11,7.60481e-11,2.42069e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 | Cov=111pm | geo=measured | IE=8.1517eV
Phosphorus (P Z=15),Detect:  f+vx->R,R_km,1.88169e-11,2.53567e+15,299792,2.53567e+15,7.96605e+15,2.53567e+15,1.88169e-11,5.9115e-11,1.88169e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=15 | Cov=107pm | geo=measured | IE=10.4867eV
Sulfur (S Z=16),Detect:  f+vx->R,R_km,1.9047e-11,2.50504e+15,299792,2.50504e+15,7.86981e+15,2.50504e+15,1.9047e-11,5.98379e-11,1.9047e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 | Cov=105pm | geo=measured | IE=10.36eV
Chlorine (Cl Z=17),Detect:  f+vx->R,R_km,1.52169e-11,3.13555e+15,299792,3.13555e+15,9.85063e+15,3.13555e+15,1.52169e-11,4.78054e-11,1.52169e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 | Cov=102pm | geo=measured | IE=12.9676eV
Argon (Ar Z=18),Detect:  f+vx->R,R_km,1.25211e-11,3.81065e+15,299792,3.81065e+15,1.19715e+16,3.81065e+15,1.25211e-11,3.93361e-11,1.25211e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 | Cov=106pm | geo=measured | IE=15.7596eV
Potassium (K Z=19),Detect:  f+vx->R,R_km,4.54597e-11,1.04958e+15,299792,1.04958e+15,3.29734e+15,1.04958e+15,4.54597e-11,1.42816e-10,4.54597e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 | Cov=203pm | geo=measured | IE=4.3407eV
Calcium (Ca Z=20),Detect:  f+vx->R,R_km,3.22788e-11,1.47817e+15,299792,1.47817e+15,4.64379e+15,1.47817e+15,3.22788e-11,1.01407e-10,3.22788e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 | Cov=176pm | geo=measured | IE=6.1132eV
Scandium (Sc Z=21),Detect:  f+vx->R,R_km,3.00735e-11,1.58656e+15,299792,1.58656e+15,4.98434e+15,1.58656e+15,3.00735e-11,9.44785e-11,3.00735e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=21 | Cov=170pm | geo=measured | IE=6.5615eV
Titanium (Ti Z=22),Detect:  f+vx->R,R_km,2.88993e-11,1.65103e+15,299792,1.65103e+15,5.18686e+15,1.65103e+15,2.88993e-11,9.07897e-11,2.88993e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 | Cov=160pm | geo=measured | IE=6.8281eV
Vanadium (V Z=23),Detect:  f+vx->R,R_km,2.92501e-11,1.63122e+15,299792,1.63122e+15,5.12464e+15,1.63122e+15,2.92501e-11,9.18919e-11,2.92501e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=23 | Cov=153pm | geo=measured | IE=6.7462eV
Chromium (Cr Z=24),Detect:  f+vx->R,R_km,2.91623e-11,1.63613e+15,299792,1.63613e+15,5.14006e+15,1.63613e+15,2.91623e-11,9.16162e-11,2.91623e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 | Cov=139pm | geo=measured | IE=6.7665eV
Manganese (Mn Z=25),Detect:  f+vx->R,R_km,2.65438e-11,1.79753e+15,299792,1.79753e+15,5.64712e+15,1.79753e+15,2.65438e-11,8.339e-11,2.65438e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=25 | Cov=139pm | geo=measured | IE=7.434eV
Iron (Fe Z=26),Detect:  f+vx->R,R_km,2.49705e-11,1.91079e+15,299792,1.91079e+15,6.00293e+15,1.91079e+15,2.49705e-11,7.84472e-11,2.49705e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 | Cov=132pm | geo=measured | IE=7.9024eV
Cobalt (Co Z=27),Detect:  f+vx->R,R_km,2.50383e-11,1.90562e+15,299792,1.90562e+15,5.98667e+15,1.90562e+15,2.50383e-11,7.86602e-11,2.50383e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=27 | Cov=126pm | geo=measured | IE=7.881eV
Nickel (Ni Z=28),Detect:  f+vx->R,R_km,2.58288e-11,1.8473e+15,299792,1.8473e+15,5.80345e+15,1.8473e+15,2.58288e-11,8.11436e-11,2.58288e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 | Cov=124pm | geo=measured | IE=7.6398eV
Copper (Cu Z=29),Detect:  f+vx->R,R_km,2.55393e-11,1.86824e+15,299792,1.86824e+15,5.86923e+15,1.86824e+15,2.55393e-11,8.02341e-11,2.55393e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=29 | Cov=132pm | geo=measured | IE=7.7264eV
Zinc (Zn Z=30),Detect:  f+vx->R,R_km,2.10052e-11,2.27151e+15,299792,2.27151e+15,7.13615e+15,2.27151e+15,2.10052e-11,6.59898e-11,2.10052e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 | Cov=122pm | geo=measured | IE=9.3942eV
Gallium (Ga Z=31),Detect:  f+vx->R,R_km,3.28917e-11,1.45062e+15,299792,1.45062e+15,4.55727e+15,1.45062e+15,3.28917e-11,1.03332e-10,3.28917e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=31 | Cov=122pm | geo=measured | IE=5.9993eV
Germanium (Ge Z=32),Detect:  f+vx->R,R_km,2.498e-11,1.91007e+15,299792,1.91007e+15,6.00065e+15,1.91007e+15,2.498e-11,7.8477e-11,2.498e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 | Cov=120pm | geo=measured | IE=7.8994eV
Arsenic (As Z=33),Detect:  f+vx->R,R_km,2.01589e-11,2.36687e+15,299792,2.36687e+15,7.43575e+15,2.36687e+15,2.01589e-11,6.33309e-11,2.01589e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=33 | Cov=119pm | geo=measured | IE=9.7886eV
Selenium (Se Z=34),Detect:  f+vx->R,R_km,2.02337e-11,2.35812e+15,299792,2.35812e+15,7.40825e+15,2.35812e+15,2.02337e-11,6.3566e-11,2.02337e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 | Cov=120pm | geo=measured | IE=9.7524eV
Bromine (Br Z=35),Detect:  f+vx->R,R_km,1.67031e-11,2.85656e+15,299792,2.85656e+15,8.97416e+15,2.85656e+15,1.67031e-11,5.24743e-11,1.67031e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=35 | Cov=120pm | geo=measured | IE=11.8138eV
Krypton (Kr Z=36),Detect:  f+vx->R,R_km,1.40952e-11,3.38509e+15,299792,3.38509e+15,1.06346e+16,3.38509e+15,1.40952e-11,4.42813e-11,1.40952e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 | Cov=116pm | geo=measured | IE=13.9996eV
Rubidium (Rb Z=37),Detect:  f+vx->R,R_km,4.72402e-11,1.01002e+15,299792,1.01002e+15,3.17307e+15,1.01002e+15,4.72402e-11,1.48409e-10,4.72402e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=37 | Cov=220pm | geo=measured | IE=4.1771eV
Strontium (Sr Z=38),Detect:  f+vx->R,R_km,3.46498e-11,1.37702e+15,299792,1.37702e+15,4.32604e+15,1.37702e+15,3.46498e-11,1.08855e-10,3.46498e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=38 | Cov=195pm | geo=measured | IE=5.6949eV
Yttrium (Y Z=39),Detect:  f+vx->R,R_km,3.17394e-11,1.50329e+15,299792,1.50329e+15,4.72272e+15,1.50329e+15,3.17394e-11,9.97122e-11,3.17394e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=39 | Cov=190pm | geo=measured | IE=6.2171eV
Zirconium (Zr Z=40),Detect:  f+vx->R,R_km,2.97452e-11,1.60407e+15,299792,1.60407e+15,5.03933e+15,1.60407e+15,2.97452e-11,9.34474e-11,2.97452e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=40 | Cov=175pm | geo=measured | IE=6.6339eV
Niobium (Nb Z=41),Detect:  f+vx->R,R_km,2.91951e-11,1.63429e+15,299792,1.63429e+15,5.13429e+15,1.63429e+15,2.91951e-11,9.17192e-11,2.91951e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=41 | Cov=164pm | geo=measured | IE=6.7589eV
Molybdenum (Mo Z=42),Detect:  f+vx->R,R_km,2.78223e-11,1.71493e+15,299792,1.71493e+15,5.38763e+15,1.71493e+15,2.78223e-11,8.74064e-11,2.78223e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=42 | Cov=154pm | geo=measured | IE=7.0924eV
Technetium (Tc Z=43),Detect:  f+vx->R,R_km,2.71054e-11,1.7603e+15,299792,1.7603e+15,5.53013e+15,1.7603e+15,2.71054e-11,8.5154e-11,2.71054e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=43 | Cov=147pm | geo=measured | IE=7.28eV
Ruthenium (Ru Z=44),Detect:  f+vx->R,R_km,2.68089e-11,1.77976e+15,299792,1.77976e+15,5.59128e+15,1.77976e+15,2.68089e-11,8.42227e-11,2.68089e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=44 | Cov=146pm | geo=measured | IE=7.3605eV
Rhodium (Rh Z=45),Detect:  f+vx->R,R_km,2.64552e-11,1.80355e+15,299792,1.80355e+15,5.66603e+15,1.80355e+15,2.64552e-11,8.31116e-11,2.64552e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=45 | Cov=142pm | geo=measured | IE=7.4589eV
Palladium (Pd Z=46),Detect:  f+vx->R,R_km,2.36691e-11,2.01585e+15,299792,2.01585e+15,6.33299e+15,2.01585e+15,2.36691e-11,7.43587e-11,2.36691e-11,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=46 | Cov=139pm | geo=measured | IE=8.3369eV
