Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Map:     f+R->vx,vx_kms,3.1e-14,3.28808e+15,640.448,3.28808e+15,1.03298e+16,3.28808e+15,3.1e-14,9.73894e-14,3.1e-14,640.448,203.861,640.448,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,468.098,unresolved nearest=2/alpha (70.8%),C1,Z=1 | Cov=31pm | geo=measured | IE=13.5984eV
Helium (He Z=2),Map:     f+R->vx,vx_kms,2.8e-14,5.94521e+15,1045.94,5.94521e+15,1.86774e+16,5.94521e+15,2.8e-14,8.79646e-14,2.8e-14,1045.94,332.932,1045.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,286.626,2/alpha (err=4.58%),C1,Z=2 | Cov=28pm | geo=measured | IE=24.5874eV
Lithium (Li Z=3),Map:     f+R->vx,vx_kms,1.28e-13,1.30371e+15,1048.5,1.30371e+15,4.09572e+15,1.30371e+15,1.28e-13,4.02124e-13,1.28e-13,1048.5,333.749,1048.5,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,285.924,2/alpha (err=4.32%),C1,Z=3 | Cov=128pm | geo=measured | IE=5.3917eV
Beryllium (Be Z=4),Map:     f+R->vx,vx_kms,9.6e-14,2.25422e+15,1359.71,2.25422e+15,7.08184e+15,2.25422e+15,9.6e-14,3.01593e-13,9.6e-14,1359.71,432.81,1359.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,220.482,pi/(2alpha) (err=2.43%),C1,Z=4 | Cov=96pm | geo=measured | IE=9.3227eV
Boron (B Z=5),Map:     f+R->vx,vx_kms,8.4e-14,2.00645e+15,1058.98,2.00645e+15,6.30344e+15,2.00645e+15,8.4e-14,2.63894e-13,8.4e-14,1058.98,337.083,1058.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,283.096,2/alpha (err=3.29%),C1,Z=5 | Cov=84pm | geo=measured | IE=8.298eV
Carbon (C Z=6),Map:     f+R->vx,vx_kms,7.7e-14,2.72273e+15,1317.27,2.72273e+15,8.5537e+15,2.72273e+15,7.7e-14,2.41903e-13,7.7e-14,1317.27,419.3,1317.27,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,227.586,pi/(2alpha) (err=5.73%),C1,Z=6 | Cov=77pm | geo=measured | IE=11.2603eV
Nitrogen (N Z=7),Map:     f+R->vx,vx_kms,7.1e-14,3.51433e+15,1567.76,3.51433e+15,1.10406e+16,3.51433e+15,7.1e-14,2.23053e-13,7.1e-14,1567.76,499.035,1567.76,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,191.223,pi/(2alpha) (err=11.16%),C1,Z=7 | Cov=71pm | geo=measured | IE=14.5341eV
Oxygen (O Z=8),Map:     f+R->vx,vx_kms,6.6e-14,3.29284e+15,1365.51,3.29284e+15,1.03448e+16,3.29284e+15,6.6e-14,2.07345e-13,6.6e-14,1365.51,434.655,1365.51,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,219.546,pi/(2alpha) (err=1.99%),C1,Z=8 | Cov=66pm | geo=measured | IE=13.6181eV
Fluorine (F Z=9),Map:     f+R->vx,vx_kms,5.7e-14,4.21281e+15,1508.78,4.21281e+15,1.32349e+16,4.21281e+15,5.7e-14,1.79071e-13,5.7e-14,1508.78,480.261,1508.78,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,198.698,pi/(2alpha) (err=7.69%),C1,Z=9 | Cov=57pm | geo=measured | IE=17.4228eV
Neon (Ne Z=10),Map:     f+R->vx,vx_kms,5.8e-14,5.21427e+15,1900.21,5.21427e+15,1.63811e+16,5.21427e+15,5.8e-14,1.82212e-13,5.8e-14,1900.21,604.856,1900.21,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,157.768,1/alpha (err=15.13%),C1,Z=10 | Cov=58pm | geo=measured | IE=21.5645eV
Sodium (Na Z=11),Map:     f+R->vx,vx_kms,1.66e-13,1.24263e+15,1296.07,1.24263e+15,3.90383e+15,1.24263e+15,1.66e-13,5.21504e-13,1.66e-13,1296.07,412.553,1296.07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,231.308,pi/(2alpha) (err=7.46%),C1,Z=11 | Cov=166pm | geo=measured | IE=5.1391eV
