Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen (H Z=1),Predict: R+vx->f,f_Hz,3.1e-14,1.53914e+18,299792,1.53914e+18,4.83536e+18,1.53914e+18,3.1e-14,9.73894e-14,3.1e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 | Cov=31pm | geo=measured | IE=13.5984eV
Helium (He Z=2),Predict: R+vx->f,f_Hz,2.8e-14,1.70405e+18,299792,1.70405e+18,5.35344e+18,1.70405e+18,2.8e-14,8.79646e-14,2.8e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 | Cov=28pm | geo=measured | IE=24.5874eV
Lithium (Li Z=3),Predict: R+vx->f,f_Hz,1.28e-13,3.72761e+17,299792,3.72761e+17,1.17106e+18,3.72761e+17,1.28e-13,4.02124e-13,1.28e-13,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 | Cov=128pm | geo=measured | IE=5.3917eV
Beryllium (Be Z=4),Predict: R+vx->f,f_Hz,9.6e-14,4.97015e+17,299792,4.97015e+17,1.56142e+18,4.97015e+17,9.6e-14,3.01593e-13,9.6e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 | Cov=96pm | geo=measured | IE=9.3227eV
Boron (B Z=5),Predict: R+vx->f,f_Hz,8.4e-14,5.68017e+17,299792,5.68017e+17,1.78448e+18,5.68017e+17,8.4e-14,2.63894e-13,8.4e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 | Cov=84pm | geo=measured | IE=8.298eV
Carbon (C Z=6),Predict: R+vx->f,f_Hz,7.7e-14,6.19655e+17,299792,6.19655e+17,1.9467e+18,6.19655e+17,7.7e-14,2.41903e-13,7.7e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 | Cov=77pm | geo=measured | IE=11.2603eV
Nitrogen (N Z=7),Predict: R+vx->f,f_Hz,7.1e-14,6.7202e+17,299792,6.7202e+17,2.11121e+18,6.7202e+17,7.1e-14,2.23053e-13,7.1e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=7 | Cov=71pm | geo=measured | IE=14.5341eV
Oxygen (O Z=8),Predict: R+vx->f,f_Hz,6.6e-14,7.22931e+17,299792,7.22931e+17,2.27115e+18,7.22931e+17,6.6e-14,2.07345e-13,6.6e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=8 | Cov=66pm | geo=measured | IE=13.6181eV
Fluorine (F Z=9),Predict: R+vx->f,f_Hz,5.7e-14,8.37078e+17,299792,8.37078e+17,2.62976e+18,8.37078e+17,5.7e-14,1.79071e-13,5.7e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=9 | Cov=57pm | geo=measured | IE=17.4228eV
Neon (Ne Z=10),Predict: R+vx->f,f_Hz,5.8e-14,8.22646e+17,299792,8.22646e+17,2.58442e+18,8.22646e+17,5.8e-14,1.82212e-13,5.8e-14,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=10 | Cov=58pm | geo=measured | IE=21.5645eV
Sodium (Na Z=11),Predict: R+vx->f,f_Hz,1.66e-13,2.8743e+17,299792,2.8743e+17,9.02989e+17,2.8743e+17,1.66e-13,5.21504e-13,1.66e-13,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 | Cov=166pm | geo=measured | IE=5.1391eV
