Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen-1 (Z=1 A=1),Detect:  f+vx->R,R_km,2.10309e-19,2.26873e+23,299792,2.26873e+23,7.12743e+23,2.26873e+23,2.10309e-19,6.60705e-19,2.10309e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=1 | Rc=0.8783fm | src=Angeli2013 | BE=938.272MeV
Deuterium (Z=1 A=2),Detect:  f+vx->R,R_km,8.87022e-17,5.37906e+20,299792,5.37906e+20,1.68988e+21,5.37906e+20,8.87022e-17,2.78666e-16,8.87022e-17,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=2 | Rc=2.1421fm | src=Angeli2013 | BE=2.2246MeV
Helium-3 (Z=2 A=3),Detect:  f+vx->R,R_km,2.55668e-17,1.86623e+21,299792,1.86623e+21,5.86293e+21,1.86623e+21,2.55668e-17,8.03204e-17,2.55668e-17,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=3 | Rc=1.9661fm | src=Angeli2013 | BE=7.7181MeV
Helium-4 (Z=2 A=4),Detect:  f+vx->R,R_km,6.97374e-18,6.84187e+21,299792,6.84187e+21,2.14944e+22,6.84187e+21,6.97374e-18,2.19087e-17,6.97374e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=4 | Rc=1.6755fm | src=Angeli2013 | BE=28.2957MeV
Lithium-6 (Z=3 A=6),Detect:  f+vx->R,R_km,6.16751e-18,7.73626e+21,299792,7.73626e+21,2.43042e+22,7.73626e+21,6.16751e-18,1.93758e-17,6.16751e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=6 | Rc=2.589fm | src=Angeli2013 | BE=31.9946MeV
Lithium-7 (Z=3 A=7),Detect:  f+vx->R,R_km,5.02819e-18,9.48918e+21,299792,9.48918e+21,2.98111e+22,9.48918e+21,5.02819e-18,1.57965e-17,5.02819e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=7 | Rc=2.444fm | src=Angeli2013 | BE=39.2441MeV
Beryllium-9 (Z=4 A=9),Detect:  f+vx->R,R_km,3.39253e-18,1.40643e+22,299792,1.40643e+22,4.41842e+22,1.40643e+22,3.39253e-18,1.0658e-17,3.39253e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 A=9 | Rc=2.519fm | src=Angeli2013 | BE=58.1651MeV
Boron-10 (Z=5 A=10),Detect:  f+vx->R,R_km,3.04748e-18,1.56567e+22,299792,1.56567e+22,4.91869e+22,1.56567e+22,3.04748e-18,9.57395e-18,3.04748e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=10 | Rc=2.4277fm | src=Angeli2013 | BE=64.7508MeV
Boron-11 (Z=5 A=11),Detect:  f+vx->R,R_km,2.58943e-18,1.84262e+22,299792,1.84262e+22,5.78877e+22,1.84262e+22,2.58943e-18,8.13493e-18,2.58943e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=11 | Rc=2.405fm | src=Angeli2013 | BE=76.2048MeV
Carbon-12 (Z=6 A=12),Detect:  f+vx->R,R_km,2.1411e-18,2.22846e+22,299792,2.22846e+22,7.00091e+22,2.22846e+22,2.1411e-18,6.72645e-18,2.1411e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=12 | Rc=2.4702fm | src=Angeli2013 | BE=92.1617MeV
Carbon-13 (Z=6 A=13),Detect:  f+vx->R,R_km,2.03203e-18,2.34807e+22,299792,2.34807e+22,7.37667e+22,2.34807e+22,2.03203e-18,6.38382e-18,2.03203e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=13 | Rc=2.4614fm | src=Angeli2013 | BE=97.1082MeV
