Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen-1 (Z=1 A=1),Map:     f+R->vx,vx_kms,8.783e-19,2.26873e+23,1.252e+06,2.26873e+23,7.12743e+23,2.26873e+23,8.783e-19,2.75926e-18,8.783e-19,1.252e+06,398525,1.252e+06,100,31.831,100,100,31.831,100,100,314.159,100,torus,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.23945,unresolved nearest=1 (76.1%),C1,Z=1 A=1 | Rc=0.8783fm | src=Angeli2013 | BE=938.272MeV
Deuterium (Z=1 A=2),Map:     f+R->vx,vx_kms,2.1421e-18,5.37906e+20,7239.79,5.37906e+20,1.68988e+21,5.37906e+20,2.1421e-18,6.72961e-18,2.1421e-18,7239.79,2304.5,7239.79,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,41.409,phi^9 (err=45.52%),C1,Z=1 A=2 | Rc=2.1421fm | src=Angeli2013 | BE=2.2246MeV
Helium-3 (Z=2 A=3),Map:     f+R->vx,vx_kms,1.9661e-18,1.86623e+21,23054.2,1.86623e+21,5.86293e+21,1.86623e+21,1.9661e-18,6.17669e-18,1.9661e-18,23054.2,7338.38,23054.2,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,13.0038,phi^6 (err=27.53%),C1,Z=2 A=3 | Rc=1.9661fm | src=Angeli2013 | BE=7.7181MeV
Helium-4 (Z=2 A=4),Map:     f+R->vx,vx_kms,1.6755e-18,6.84187e+21,72027.6,6.84187e+21,2.14944e+22,6.84187e+21,1.6755e-18,5.26374e-18,1.6755e-18,72027.6,22927.1,72027.6,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,4.16219,phi^3 (err=1.74%),C1,Z=2 A=4 | Rc=1.6755fm | src=Angeli2013 | BE=28.2957MeV
Lithium-6 (Z=3 A=6),Map:     f+R->vx,vx_kms,2.589e-18,7.73626e+21,125847,7.73626e+21,2.43042e+22,7.73626e+21,2.589e-18,8.13358e-18,2.589e-18,125847,40058.4,125847,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,2.3822,phi^2 (err=9.01%),C1,Z=3 A=6 | Rc=2.589fm | src=Angeli2013 | BE=31.9946MeV
Lithium-7 (Z=3 A=7),Map:     f+R->vx,vx_kms,2.444e-18,9.48918e+21,145717,9.48918e+21,2.98111e+22,9.48918e+21,2.444e-18,7.67805e-18,2.444e-18,145717,46383.1,145717,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,2.05736,2 (err=2.87%),C1,Z=3 A=7 | Rc=2.444fm | src=Angeli2013 | BE=39.2441MeV
Beryllium-9 (Z=4 A=9),Map:     f+R->vx,vx_kms,2.519e-18,1.40643e+22,222600,1.40643e+22,4.41842e+22,1.40643e+22,2.519e-18,7.91367e-18,2.519e-18,222600,70855.7,222600,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1.34678,pi/2 (err=14.26%),C1,Z=4 A=9 | Rc=2.519fm | src=Angeli2013 | BE=58.1651MeV
Boron-10 (Z=5 A=10),Map:     f+R->vx,vx_kms,2.4277e-18,1.56567e+22,238822,1.56567e+22,4.91869e+22,1.56567e+22,2.4277e-18,7.62684e-18,2.4277e-18,238822,76019.4,238822,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1.2553,pi/2 (err=20.09%),C1,Z=5 A=10 | Rc=2.4277fm | src=Angeli2013 | BE=64.7508MeV
Boron-11 (Z=5 A=11),Map:     f+R->vx,vx_kms,2.405e-18,1.84262e+22,278440,1.84262e+22,5.78877e+22,1.84262e+22,2.405e-18,7.55553e-18,2.405e-18,278440,88630.2,278440,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1.07669,1 (err=7.67%),C1,Z=5 A=11 | Rc=2.405fm | src=Angeli2013 | BE=76.2048MeV
Carbon-12 (Z=6 A=12),Map:     f+R->vx,vx_kms,2.4702e-18,2.22846e+22,345873,2.22846e+22,7.00091e+22,2.22846e+22,2.4702e-18,7.76036e-18,2.4702e-18,345873,110095,345873,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.86677,1 (err=13.32%),C1,Z=6 A=12 | Rc=2.4702fm | src=Angeli2013 | BE=92.1617MeV
Carbon-13 (Z=6 A=13),Map:     f+R->vx,vx_kms,2.4614e-18,2.34807e+22,363139,2.34807e+22,7.37667e+22,2.34807e+22,2.4614e-18,7.73272e-18,2.4614e-18,363139,115591,363139,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.825559,1 (err=17.44%),C1,Z=6 A=13 | Rc=2.4614fm | src=Angeli2013 | BE=97.1082MeV
Nitrogen-14 (Z=7 A=14),Map:     f+R->vx,vx_kms,2.5582e-18,2.53064e+22,406767,2.53064e+22,7.95025e+22,2.53064e+22,2.5582e-18,8.03682e-18,2.5582e-18,406767,129478,406767,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.737013,1 (err=26.30%),C1,Z=7 A=14 | Rc=2.5582fm | src=Angeli2013 | BE=104.659MeV
Nitrogen-15 (Z=7 A=15),Map:     f+R->vx,vx_kms,2.601e-18,2.79258e+22,456380,2.79258e+22,8.77316e+22,2.79258e+22,2.601e-18,8.17128e-18,2.601e-18,456380,145270,456380,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.656892,1 (err=34.31%),C1,Z=7 A=15 | Rc=2.601fm | src=Angeli2013 | BE=115.492MeV
Oxygen-16 (Z=8 A=16),Map:     f+R->vx,vx_kms,2.6991e-18,3.08581e+22,523321,3.08581e+22,9.69437e+22,3.08581e+22,2.6991e-18,8.47947e-18,2.6991e-18,523321,166578,523321,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.572865,1 (err=42.71%),C1,Z=8 A=16 | Rc=2.6991fm | src=Angeli2013 | BE=127.619MeV
Oxygen-17 (Z=8 A=17),Map:     f+R->vx,vx_kms,2.6931e-18,3.18602e+22,539113,3.18602e+22,1.00092e+23,3.18602e+22,2.6931e-18,8.46062e-18,2.6931e-18,539113,171605,539113,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.556084,1 (err=44.39%),C1,Z=8 A=17 | Rc=2.6931fm | src=Angeli2013 | BE=131.763MeV
Oxygen-18 (Z=8 A=18),Map:     f+R->vx,vx_kms,2.7726e-18,3.38054e+22,588916,3.38054e+22,1.06203e+23,3.38054e+22,2.7726e-18,8.71038e-18,2.7726e-18,588916,187458,588916,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,0.509058,1 (err=49.09%),C1,Z=8 A=18 | Rc=2.7726fm | src=Angeli2013 | BE=139.808MeV
