Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Hydrogen-1 (Z=1 A=1),Predict: R+vx->f,f_Hz,8.783e-19,5.43248e+22,299792,5.43248e+22,1.70666e+23,5.43248e+22,8.783e-19,2.75926e-18,8.783e-19,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=1 | Rc=0.8783fm | src=Angeli2013 | BE=938.272MeV
Deuterium (Z=1 A=2),Predict: R+vx->f,f_Hz,2.1421e-18,2.22741e+22,299792,2.22741e+22,6.99763e+22,2.22741e+22,2.1421e-18,6.72961e-18,2.1421e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=1 A=2 | Rc=2.1421fm | src=Angeli2013 | BE=2.2246MeV
Helium-3 (Z=2 A=3),Predict: R+vx->f,f_Hz,1.9661e-18,2.42681e+22,299792,2.42681e+22,7.62404e+22,2.42681e+22,1.9661e-18,6.17669e-18,1.9661e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=3 | Rc=1.9661fm | src=Angeli2013 | BE=7.7181MeV
Helium-4 (Z=2 A=4),Predict: R+vx->f,f_Hz,1.6755e-18,2.84771e+22,299792,2.84771e+22,8.94636e+22,2.84771e+22,1.6755e-18,5.26374e-18,1.6755e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=2 A=4 | Rc=1.6755fm | src=Angeli2013 | BE=28.2957MeV
Lithium-6 (Z=3 A=6),Predict: R+vx->f,f_Hz,2.589e-18,1.84293e+22,299792,1.84293e+22,5.78973e+22,1.84293e+22,2.589e-18,8.13358e-18,2.589e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=6 | Rc=2.589fm | src=Angeli2013 | BE=31.9946MeV
Lithium-7 (Z=3 A=7),Predict: R+vx->f,f_Hz,2.444e-18,1.95227e+22,299792,1.95227e+22,6.13323e+22,1.95227e+22,2.444e-18,7.67805e-18,2.444e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=3 A=7 | Rc=2.444fm | src=Angeli2013 | BE=39.2441MeV
Beryllium-9 (Z=4 A=9),Predict: R+vx->f,f_Hz,2.519e-18,1.89414e+22,299792,1.89414e+22,5.95062e+22,1.89414e+22,2.519e-18,7.91367e-18,2.519e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=4 A=9 | Rc=2.519fm | src=Angeli2013 | BE=58.1651MeV
Boron-10 (Z=5 A=10),Predict: R+vx->f,f_Hz,2.4277e-18,1.96538e+22,299792,1.96538e+22,6.17441e+22,1.96538e+22,2.4277e-18,7.62684e-18,2.4277e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=10 | Rc=2.4277fm | src=Angeli2013 | BE=64.7508MeV
Boron-11 (Z=5 A=11),Predict: R+vx->f,f_Hz,2.405e-18,1.98393e+22,299792,1.98393e+22,6.23269e+22,1.98393e+22,2.405e-18,7.55553e-18,2.405e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=5 A=11 | Rc=2.405fm | src=Angeli2013 | BE=76.2048MeV
Carbon-12 (Z=6 A=12),Predict: R+vx->f,f_Hz,2.4702e-18,1.93156e+22,299792,1.93156e+22,6.06818e+22,1.93156e+22,2.4702e-18,7.76036e-18,2.4702e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=12 | Rc=2.4702fm | src=Angeli2013 | BE=92.1617MeV
Carbon-13 (Z=6 A=13),Predict: R+vx->f,f_Hz,2.4614e-18,1.93847e+22,299792,1.93847e+22,6.08988e+22,1.93847e+22,2.4614e-18,7.73272e-18,2.4614e-18,299792,95426.9,299792,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=6 A=13 | Rc=2.4614fm | src=Angeli2013 | BE=97.1082MeV
