index,pdb_id,uniprot_id,cds_status,included_pdb4,n_residues_with_codon,n_aa_classes,exclusion_reason,cif_downloaded,cif_size_bytes,cif_sha256
1,10DT,P09769,available,yes,9,7,included,yes,684786,33569244c4544ae2ab26fc9833ffbfc11d9a42a9aa21794f3fbb2820c6b710b7
2,10EC,A0AAE7VWW2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
3,10FA,P0A847,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
4,10FB,P0A847,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
5,10FS,P09769,available,yes,9,7,included,yes,659910,f900c9343cf90db46fc3ec60d5d994d6b2148472fd0cd634bdeabd60d3d36b30
6,10FV,P09769,available,yes,8,6,included,yes,592366,de1eefd86d6ed2cccf9226e3036ba5db8068c097fd27282824bcf4e2ebbce8ec
7,10GA,P09769,available,yes,8,6,included,yes,638234,9493da681a69ea55cf330e5c27f396d9cf78ce241409e099cb55bdc72d836399
8,10LJ,A0AAE8B7G6,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
9,10MN,O15527,available,yes,11,3,included,yes,652888,c31d750ba01b161d8acb5a8c951b3e6dca9c0f07dacc9880df83df7fee26a577
10,10XW,A0AAE7VXB5,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
11,10ZK,A9H5W5,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),yes,2621140,addf873ed03074cdad95946f38187a151ddfa1fd0836d34fd76f82e1c27047f8
12,10ZL,A9H5W8,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
13,10ZM,P07328,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
14,10ZN,A9H5W5,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
15,11MP,P77522,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
16,12IY,P34972,available,yes,19,4,included,yes,292680,1145925ede3c056a3d8e5462e0e9cbc394f3539cce73915aa46b261fe8e15edb
17,12IZ,P63096,available,yes,42,16,included,yes,978224,82adba1059fe29489b1fa2991b03d5fccbb263edc68ce0f7d51042933efa1ddd
18,12JA,P63096,available,yes,35,15,included,yes,806443,9dc7b7f2d7af6f3cd7336060b2e75f3c4fbc6c8c4687b9262c2f96e629e4e98f
19,13BF,P12111,available,yes,28,12,included,yes,423323,fa8afe94dcfb53ad842d6c0299c7cdbe7031bd48b80acfab47fa3b9380ec4a0a
20,13BR,P25311,available,yes,18,12,included,yes,376452,ba3a335ae2cd80e563c9b870cd32b485c831fb4de8abf493413ca414009ce6e8
21,13BS,Q9UBH0,available,yes,29,12,included,yes,487073,f367fe4cda5ebac8db07bc9be1fdb4c87187f1d91230f6fa8e8d198a5c24c566
22,13CT,D5AT91,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
23,13JV,A0A0A0WEU2,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
24,13KK,P61604,available,yes,28,2,included,yes,803476,ab7f0b43211241c86f160ffc02fb9ec303c402c77d301a8e02b5ae89b3c11aa4
25,13KW,P61604,available,yes,35,2,included,yes,773266,70fa18223c3a11acdaf3ccd6f46a00d66206891b2aaeb4b02a9353ee9de12a05
26,21ET,,no_uniprot,no,0,0,no UniProt linkage,no,0,
27,21ZX,Q03555,available,yes,56,9,included,yes,2376281,c4deb6f550702478b0b602caec63676cba3932181caac29c3e5e9c8bbaf11c58
28,23EF,O27818,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
29,23EG,O27818,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
30,23EI,O27818,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
31,23EO,P83820,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
32,23EQ,P83820,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
33,23GD,A0AAE7VXB5,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
34,23WI,P0A7V0,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
35,24FO,Q57703,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
36,24GZ,Q57703,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
37,25SU,Q9NYW5,available,yes,62,13,included,yes,938543,2aa2f5b5822dd232c1ac363ad5fb9ad40c8fdb229f58bc18ae713bb12972673c
38,26QX,Q79PF4,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
39,26RC,Q79PF4,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
40,26RV,A0A376LC84,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
41,27FM,P04406,available,yes,68,8,included,yes,2273601,28f7ba7276cb11ac6c26d3073c4f9b270fd87e3b4419c03ff94596655f148bc9
42,27GY,Q9U556,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
43,27GZ,Q9U556,no_cds,no,0,0,no CDS (no RefSeq NM_ in UniProt),no,0,
